acu,"sharp, pointed",Latin,"acutus, past participle ofacuere ""to sharpen"", from acus ""needle""","acerose, acupuncture, acumen, acute, acutifoliate"
aero,"air, atmosphere",Greek,"ἀήρ, ἀέρος (āḗr, āéros) ""air""","aerobic, aerodynamic, aeronautics, aeroplane, aerorrhachia, aerosol, aerotitis"
Afro,relating to Africa,Latin,,
agro,field,Greek,ἀγρός (agrós),"agroforestry, agronomist, agronomy"
ambi,"both, on both sides",Latin,ambi,"ambidexterity, ambient, ambiguous, ambit, ambition,ambivalent, amboceptor, amputation, ancipital, andante"
ampli,"ample, abundant, bountiful, large",Latin,amplus,"ample, amplify, amplitude"
ana,"again, against, back, up",Greek,ἀνά (aná),"anagram, anabaptist, anaphylaxis, anarrhexis, anion,anode"
Anarcho,lack of a leader or government,Greek,anarkhia,
andro,"male, masculine",Greek,"ἀνήρ, ἀνδρός (anḗr,andrós), ἀνδρότης","Alexander, androcentric, androcentrism, androgen, androgenous, androgyne, androgynous, androgyny,android, andrology, androphobia, androspore, diandry,misandry, monandry, philander, polyandrous,polyandry, protandry, pseudandry, synandrous"
Anglo,relating to the English,Latin,,
ante,"before, in front of, prior to; old",Latin,"ante ""before"", ""against""; see also antiquus ""old""",
Anthro,Of or pertaining to human beings,Greek,,
anti,"against, opposed to, preventive",Greek,"ἀντί (antí) ""against""","antagonist, antagonize, antibiotic, antidote, antipodes, antirrhinum"
Archeo,"ancient, olden, primitive, primeval, from the beginning",Greek,arkhaios,
astro-,"star, star-shaped",Greek,"ἀστήρ, ἀστέρος (astḗr,astéros), ἄστρον(ástron) ""star""","aster, asterisk, asteroid, astrology, astronomy, astronaut, diasterism geaster, monaster"
auto-[38],self; directed from within,Greek,"αὐτός (autós) ""self"", ""same""","autarchism, autarchy, autarky, authentic, autism, autistic, autocracy, autograph, automatic, automaton,autonomy"
belli-,war,Latin,"bellum, belli","antebellum, bellicose, belligerent, rebellion"
bene-,"good, well",Latin,bene (adverb),"beneficence, benefit, benevolent, benign, benignant,benignity"
bi-,two,Latin,"bis, ""twice""; bini, ""in twos""","bicycle, biennial, bifocal, bisexual, bigamy, binary,binoculars, biscotti"
bio-,life,Greek,"βιοῦν (bioûn), βίος(bíos) ""life"", βιωτός (biōtós), βιωτικός (biōtikós), βίωσις (bíōsis)","biodiversity, biography, biohazard, biology, biome, biometric, biosphere"
cardio-,heart,Greek,καρδιά (kardía),"cardiac, cardiograph, cardioid, cardiology, cardiomyopathy, electrocardiogram, endocardium, epicardium, hemicardia,myocardium, pericardium"
cata-,"down, against, back",Greek,"κατά (katá) ""down, against, back""","catabolic, catacomb, catalyst, catarrhine, catastrophe, catatonia,cathode, cation"
centri-,center,Latin/Greek,centrum,
chore-,relating todance,Greek,"χορεία(khoreia) ""dancing in unison"" fromχορός (khoros) ""chorus""","choreography, chorus"
